item_id,title,price,currency,sold_date,condition,url
117134060490,2010年 ポケモン日本ワールドコレクション スペイン語 pikachu-holo PSA 10,140070.0,JPY,2026-04-17,新品 (その他),https://www.ebay.com/itm/117134060490
306869010967,2009年 ポケモン日本プロモアルセウスアドベント #043 Pikachu M LV.X-Holo PSA 10,970937.0,JPY,2026-04-17,新品 (その他),https://www.ebay.com/itm/306869010967
306870788951,2007年 ポケモンjpnダイヤモンド & パールシャイニングダークネス 第1版 ルギアホロpsa 10,368797.0,JPY,2026-04-17,新品 (その他),https://www.ebay.com/itm/306870788951
298209137910,2019 ポケモンjpn SMタグチームオールスター #186 FA/TOGEPI Cleffa Igglybuff GX PSA 10,102824.0,JPY,2026-04-17,新品 (その他),https://www.ebay.com/itm/298209137910
306870667855,2013年 ポケモンjpn B & W シャイニーコレクション 第1版 フルアート/シェイミンex PSA 10,101869.0,JPY,2026-04-17,新品 (その他),https://www.ebay.com/itm/306870667855
306870667701,2010年 ポケモン日本ワールドコレクション英語ピカチュウホロPSA 10,453635.0,JPY,2026-04-17,新品 (その他),https://www.ebay.com/itm/306870667701
306871064220,2026年 ポケモンjpn m4-ninja spinner スペシャルアートレア #114 メガグレニンジャex PSA 10,128928.0,JPY,2026-04-17,新品 (その他),https://www.ebay.com/itm/306871064220
117134051867,2020年 ポケモンjpn S promo M23 スペシャルアドバンスチケットスワローアップpikachu PSA 10,292077.0,JPY,2026-04-17,新品 (その他),https://www.ebay.com/itm/117134051867
117134061630,2010年 ポケモン日本ワールドコレクション ポリッシュ ピカチュウホロ PSA 10,338236.0,JPY,2026-04-17,新品 (その他),https://www.ebay.com/itm/117134061630
298209413403,2001年 ポケモン 日本製 eスターターデッキ 第1版 #009 チャーマー PSA 10,101869.0,JPY,2026-04-17,新品 (その他),https://www.ebay.com/itm/298209413403
306871149954,2001年 ポケモン日本ウェブ 第1版 #044 ダークブラストイズホロ PSA 10,580971.0,JPY,2026-04-17,新品 (その他),https://www.ebay.com/itm/306871149954
306870786833,2026年 ポケモンjpn m4-ninja spinner スペシャルアートレア #114 メガグレニンジャex PSA 10,127336.0,JPY,2026-04-17,新品 (その他),https://www.ebay.com/itm/306870786833
117134036846,2015 ポケモンjpn XY エメラルドブレーク 第1版 #086 フルアート/M Rayquaza ex PSA 10,970937.0,JPY,2026-04-17,新品 (その他),https://www.ebay.com/itm/117134036846
306870786821,2026年 ポケモンjpn m4-ninja spinner スペシャルアートレア #114 メガグレニンジャex PSA 10,128928.0,JPY,2026-04-17,新品 (その他),https://www.ebay.com/itm/306870786821
298209140354,2012 ポケモン日本白黒プロモ #185 Glaceon PSA 10,133703.0,JPY,2026-04-17,新品 (その他),https://www.ebay.com/itm/298209140354
117132618223,2025年 ポケモン日本インフェルノxスペシャルアートレア #110 メガチャリザードx ex PSA 10,222997.0,JPY,2026-04-17,新品 (その他),https://www.ebay.com/itm/117132618223
298209900009,2005年 ポケモン日本ゴールデンスカイ シルバーリーオーシャン #020 Ho-oh ex-holo PSA 10,382008.0,JPY,2026-04-17,新品 (その他),https://www.ebay.com/itm/298209900009
298209933079,2025年 ポケモン日本インフェルノxスペシャルアートレア #110 メガチャリザードx ex PSA 10,207399.0,JPY,2026-04-17,新品 (その他),https://www.ebay.com/itm/298209933079
298209137877,2016 ポケモンjpn XY覚醒サイキックキングフルアート/アラカザムex-Secret PSA 10,258651.0,JPY,2026-04-17,新品 (その他),https://www.ebay.com/itm/298209137877
117134061808,2009年 ポケモン日本チャリザードハーフデッキ #002 チャリザードG LV.X-ホロPSA 10,795850.0,JPY,2026-04-17,新品 (その他),https://www.ebay.com/itm/117134061808
298209413494,2003 ポケモン日本プロモ 7-11 フェアキャンペーン #016 トレッコホロPSA 10,485469.0,JPY,2026-04-17,新品 (その他),https://www.ebay.com/itm/298209413494
117134051856,2019 ポケモン日本のsmプロモ #407 演出コメディアンピカチュウホロpsa 10,191004.0,JPY,2026-04-17,新品 (その他),https://www.ebay.com/itm/117134051856
117134212207,1998 ポケモン日本ベンディングシリーズ III #92 Gastly PSA 10,126779.0,JPY,2026-04-17,新品 (その他),https://www.ebay.com/itm/117134212207
