item_id,title,price,currency,sold_date,condition,url
116867516515,2024年 ポケモンjpn sv8a-terastal fest exスペシャルアートレア #211 Espeon ex PSA 10,22321.0,JPY,2026-04-14,新品 (その他),https://www.ebay.com/itm/116867516515
298190007320,2024年 ポケモンjpn sv8a-terastal fest exスペシャルアートレア #224 Eevee ex PSA 10,15977.0,JPY,2026-04-14,新品 (その他),https://www.ebay.com/itm/298190007320
306835031001,2024年 ポケモンjpn sv8a-terastal fest exスペシャルアートレア #200 Leafeon ex PSA 10,24715.0,JPY,2026-04-14,新品 (その他),https://www.ebay.com/itm/306835031001
298218932003,2023年 ポケモン 日本製 sv4a-shiny treasure ex #349 チャリザードex PSA 10,84507.0,JPY,2026-04-14,新品 (その他),https://www.ebay.com/itm/298218932003
397832869074,2025年 東北のピカチュウ 260/SV-P スペシャルボックス ポケモンセンター 東北 ポケモン PSA 10,74590.0,JPY,2026-04-14,新品 (その他),https://www.ebay.com/itm/397832869074
306732065163,2015 ポケモンjpn XY Rage of the Broken Heavens初版フルアート/マナフィーex PSA 10,40660.0,JPY,2026-04-14,新品 (その他),https://www.ebay.com/itm/306732065163
178047074878,ポケモンPSA 10 Charizard V #211/172 Sw&Sh VSTAR Universe 2022 日本語,22612.0,JPY,2026-04-14,新品 (その他),https://www.ebay.com/itm/178047074878
198220840627,2025 ポケモンjpn m 2-inferno xスペシャルアートレア 115/080 dawn PSA 10,14340.0,JPY,2026-04-14,新品 (その他),https://www.ebay.com/itm/198220840627
298217033382,2021年 ポケモン日本Sプロモステッカー 楽しもう! スプリング、Pokeka PSA 10,14032.0,JPY,2026-04-14,新品 (その他),https://www.ebay.com/itm/298217033382
306807942351,2023 ポケモンjpn wCS23 世界チャンピオンシップ横浜デッキ #001 pikachu ex PSA 10,119586.0,JPY,2026-04-14,新品 (その他),https://www.ebay.com/itm/306807942351
366298668798,オールナイトパーティーポケモン2015カレンナイトバトルジムプロモ日本語XY-P PSA 10,55808.0,JPY,2026-04-14,新品 (その他),https://www.ebay.com/itm/366298668798
406849671883,PSA 10 solgaleo Lunala GX 020 ドリームリーグ日本サンムーンタグチームポケモン BM,11160.0,JPY,2026-04-14,新品 (その他),https://www.ebay.com/itm/406849671883
406851911819,PSA 10 solgaleo & Lunala GX 020 ドリームリーグ日本サンムーンタグチームポケモン,12595.0,JPY,2026-04-14,新品 (その他),https://www.ebay.com/itm/406851911819
